years_in_business,applicant_age,monthly_salary,existing_loans,loan_amount_requested,collateral_value,approved_status,approved_amount
3,45,8485,2,50929.5949138158,117092.99999999999,0,0.0
1,64,13041,4,123572.22354277062,164316.6,0,0.0
5,47,10263,1,95470.77238652075,153945.0,0,0.0
10,60,12523,3,134857.7718529817,225414.0,1,89680.41828223283
7,43,9118,0,103593.4018620714,147711.6,1,77591.45799469147
9,54,10773,0,125240.9035720784,187450.19999999998,1,95558.80942549581
7,53,8874,4,56573.35732210966,143758.80000000002,0,0.0
9,54,10368,2,77556.46552162991,180403.19999999998,1,53746.63060648953
8,30,3842,1,46087.162818945,64545.6,0,0.0
12,36,12346,3,100962.16254864028,237043.2,1,68553.30837052675
2,43,3496,4,21155.32174223286,46147.200000000004,0,0.0
1,37,13261,2,112767.45325102234,167088.6,0,0.0
16,56,8280,3,96021.29643085603,178848.0,1,67887.05657661518
5,46,11116,2,79375.45226393745,166740.0,0,0.0
3,56,11305,1,132145.63395380144,156009.0,0,0.0
12,46,10164,3,72379.51699155575,195148.80000000002,1,49145.69203726635
8,58,5773,3,38422.39732445435,96986.4,0,0.0
3,31,9012,4,56076.63443145671,124365.59999999999,0,0.0
1,37,7998,3,72966.76994121619,100774.8,0,0.0
3,39,3763,1,44894.18090250467,51929.399999999994,0,0.0
5,50,3095,2,23213.706462640224,46425.0,0,0.0
15,38,13158,3,145513.14758124232,276318.0,1,101859.2033068696
14,25,8761,2,77398.83321560614,178724.4,1,56346.35058096127
3,25,7107,2,46281.41974250962,98076.59999999999,0,0.0
1,36,9615,0,98356.32320151852,121149.0,0,0.0
5,25,7872,0,58124.434315214734,118080.0,0,0.0
14,34,9394,4,64797.697512451196,191637.6,1,42636.8849631929
7,27,2700,4,21136.80811855117,43740.0,0,0.0
9,26,5184,0,32870.303622493644,90201.59999999999,1,25080.04166396265
15,54,13580,2,157532.31274523132,285180.0,1,115786.249867745
15,27,7051,4,52997.66681363953,148071.0,1,35243.44843107028
10,55,12614,3,147164.29655717555,227052.0,1,97864.25721052174
13,26,6480,2,51175.18635119554,128304.0,1,36897.30935921198
19,57,10604,4,70903.98785668971,248133.6,1,49136.46358468597
7,34,14559,4,138295.3647403729,235855.80000000002,1,84221.8771268871
17,49,5572,1,60118.42218163712,123698.40000000001,1,47132.8429904035
4,28,13716,4,163799.89256817556,197510.4,0,0.0
5,30,3711,1,36119.06031110889,55665.0,0,0.0
7,47,3468,4,23973.01431135078,56181.600000000006,0,0.0
13,54,6032,2,51575.74903102846,119433.59999999999,1,37186.11505137152
15,44,9840,2,63957.39164853593,206640.0,1,47008.68286167389
11,58,9105,1,95617.4403057594,169353.0,1,70948.14070687347
4,47,4750,4,35852.39328378076,68400.0,0,0.0
13,32,14002,0,162879.1934968641,277239.6,1,128837.4420560195
7,34,11680,0,70765.58630019886,189216.0,1,53003.424138848946
19,48,12736,3,100511.97489367463,298022.39999999997,1,73172.71772259513
2,23,13118,1,122193.022708891,173157.6,0,0.0
10,37,9680,2,67032.73566251094,174240.0,1,46922.914963757656
13,50,8065,1,93404.26833714063,159687.0,1,70613.6268628783
6,41,14647,0,119719.63097794262,228493.2,1,88831.96618563343
12,53,9564,3,78370.60692854822,183628.80000000002,1,53213.64210448425
12,44,9239,1,77441.08735804139,177388.80000000002,1,58003.374431173
11,30,12379,1,94089.37339168298,230249.4,1,69814.31505662877
7,53,11487,2,125789.19457657519,186089.40000000002,1,85410.86311749456
1,25,5850,1,50613.9307497468,73710.0,0,0.0
1,63,12597,4,137662.06096415612,158722.2,0,0.0
13,31,7112,2,59997.58379752151,140817.6,1,43258.257918013
9,25,11632,1,87794.0459391645,202396.8,1,63914.06544371175
3,32,11952,1,135762.50975034334,164937.59999999998,0,0.0
7,23,7641,2,62008.99672811074,123784.20000000001,0,0.0
6,49,10154,2,110867.6394899263,158402.4,0,0.0
8,33,5603,0,50559.89739555005,94130.4,1,38223.28243103584
9,61,8860,0,55828.532404133824,154164.0,1,42597.17022435411
5,42,11854,2,132884.20468620735,177810.0,0,0.0
1,55,13533,3,87561.45269865668,170515.80000000002,0,0.0
19,55,7795,4,89310.58989416962,182403.0,1,61892.23879665954
10,57,7480,1,86812.88151622715,134640.0,1,63807.467914426954
12,24,2319,2,23718.20511012603,44524.8,0,0.0
15,60,5976,0,62704.603050852915,125496.0,1,50477.20545593659
9,27,2769,1,28539.149583237413,48180.6,0,0.0
17,22,9746,1,83288.01628685422,216361.2,1,65297.8047688937
17,62,12368,0,115640.0624039878,274569.60000000003,1,94709.21110886599
12,33,10277,1,108169.65753470083,197318.40000000002,1,81019.07349349091
7,60,12581,3,119773.44851011275,203812.2,1,77134.10084051262
2,22,11759,0,134773.5567759872,155218.80000000002,0,0.0
3,41,8704,3,98555.38462551555,120115.2,0,0.0
17,57,7544,3,64571.184627928014,167476.80000000002,1,46103.8258243406
5,59,10952,4,75999.0899160283,164280.0,0,0.0
17,24,11836,1,121017.86720011069,262759.2,1,94878.00788488676
17,41,8581,3,59104.85448986455,190498.2,1,42200.866105763285
17,29,10552,3,72769.91085307591,234254.40000000002,1,51957.7163490962
2,32,11490,2,103947.59685994948,151668.0,0,0.0
2,22,2094,4,14701.320891867117,27640.800000000003,0,0.0
5,51,12365,4,91222.18510114857,185475.0,0,0.0
1,62,2883,4,18440.601614970652,36325.8,0,0.0
1,35,6041,1,42291.66876109308,76116.6,0,0.0
19,41,4797,0,32955.46259800866,112249.8,1,27451.90034414121
2,51,7727,1,67470.76347438215,101996.40000000001,0,0.0
12,33,4381,1,46521.13499151509,84115.20000000001,1,34844.330108644805
6,33,11891,4,122389.42533731717,185499.6,0,0.0
4,60,5216,0,51253.231676958494,75110.4,0,0.0
11,23,10706,0,106558.36098130545,199131.6,1,82795.84648247434
17,44,14777,4,122336.14422118088,328049.4,1,83066.24192618181
6,32,14478,2,162161.86808491976,225856.80000000002,1,108972.77535306607
5,34,10593,3,120053.31706846181,158895.0,0,0.0
2,39,13967,0,166782.9033420426,184364.40000000002,0,0.0
6,40,9749,2,62765.6337887015,152084.4,0,0.0
11,48,10686,4,66193.29477718272,198759.6,1,42165.12877306539
16,32,6420,2,65949.04371133508,138672.0,1,48934.19043381062
16,51,2729,2,28217.295715154312,58946.4,1,20937.233420644498
1,22,7162,0,63087.20920978747,90241.2,0,0.0
9,34,7051,0,46602.08471264387,122687.4,1,35557.39063574727
6,29,9808,2,90203.94016497619,153004.80000000002,0,0.0
16,43,10083,1,69585.98395693021,217792.80000000002,1,54068.30953453477
3,41,3850,2,44358.54449604697,53129.99999999999,0,0.0
4,35,6059,0,46141.088570066,87249.59999999999,0,0.0
19,35,9047,1,73645.79647126877,211699.8,1,58769.34558407247
3,37,8560,1,60170.056945327924,118127.99999999999,0,0.0
19,40,11825,1,118069.69345041714,276705.0,1,94219.61537343285
7,60,10850,4,101091.78782248724,175770.0,0,0.0
9,50,6379,1,72304.92982938106,110994.59999999999,0,0.0
1,59,11465,4,120626.43757487008,144459.0,0,0.0
8,30,8392,4,64575.17540978348,140985.59999999998,0,0.0
7,27,7227,2,72480.8850518123,117077.40000000001,0,0.0
18,47,9154,0,66789.16942706337,208711.19999999998,1,55167.85394675434
8,57,8216,4,73925.6982375169,138028.8,0,0.0
1,41,9343,3,82487.32894965634,117721.8,0,0.0
11,62,7341,3,81792.58359725156,136542.6,1,54964.61617735305
18,46,10570,0,69215.34842213342,240996.0,1,57171.877796682194
10,29,11883,4,72313.83592950038,213894.0,1,45557.71663558524
3,61,10192,2,95844.16079228919,140649.59999999998,0,0.0
7,48,13487,2,111868.7518091234,218489.40000000002,1,75958.8824783948
16,42,10191,3,74443.86627597827,220125.6,1,52631.81345711662
16,32,7676,1,50661.28749952422,165801.6,1,39363.820387130305
17,40,12576,3,113004.15304254866,279187.2,1,80684.96527237973
2,34,12287,2,79812.21362499452,162188.40000000002,0,0.0
1,26,7606,3,47033.50995209158,95835.6,0,0.0
16,47,8633,1,73852.73087564089,186472.80000000002,1,57383.571890372965
12,28,6411,2,50832.568054151576,123091.20000000001,1,36294.45359066422
5,34,12920,0,111623.89067036481,193800.0,1,82043.55964271813
5,45,10364,0,124074.09974468936,155460.0,0,0.0
9,45,11159,1,77860.43931417503,194166.6,1,56682.39982071942
9,55,5899,3,54943.803725984326,102642.59999999999,0,0.0
3,60,4730,0,48326.24047368504,65273.99999999999,0,0.0
19,25,14735,0,139557.005322038,344799.0,1,116250.98543325764
16,41,6806,0,48587.8399078643,147009.6,1,39453.32600518581
16,34,7201,2,70586.87322934126,155541.6,1,52375.4599361712
3,51,2536,2,30175.60156677975,34996.799999999996,0,0.0
1,58,10587,1,122923.32975223988,133396.2,0,0.0
11,44,14819,4,143959.83191003383,275633.4,1,91702.41292669156
17,34,7872,3,56675.63792181831,174758.4,1,40466.40547617827
8,62,7560,2,61096.68509599234,127007.99999999999,0,0.0
4,59,12854,2,119221.97055041142,185097.6,0,0.0
6,35,9692,3,95947.20131215417,151195.2,0,0.0
8,57,3568,4,22940.96593004919,59942.399999999994,0,0.0
3,62,7801,3,76314.36936263072,107653.79999999999,0,0.0
16,26,9246,2,109058.9969458728,199713.6,1,80921.7757338376
3,32,8861,2,73715.84669889965,122281.79999999999,0,0.0
18,37,4292,2,48131.325571946356,97857.59999999999,1,36387.28213239144
14,33,8945,3,76600.31245563422,182478.0,1,53084.01653175452
18,38,3584,4,25529.843785811296,81715.2,1,17513.472837066547
2,52,9735,2,84880.94233768892,128502.00000000001,0,0.0
3,29,10823,1,68367.83890909568,149357.4,0,0.0
16,33,7371,1,46317.53814392347,159213.6,1,35988.72713782853
9,29,6717,4,53906.428616173886,116875.8,0,0.0
4,34,12080,2,105372.53983047143,173952.0,0,0.0
1,44,2207,0,16259.773503136821,27808.2,0,0.0
4,26,14181,4,129374.1928060353,204206.4,0,0.0
1,29,7897,2,93968.94118168202,99502.2,0,0.0
14,24,11989,0,124132.87588319306,244575.6,1,99058.03495478806
16,64,13327,1,150408.85282780192,287863.2,1,116867.67864720208
8,26,9552,2,79175.3451984307,160473.59999999998,1,54314.28680612347
7,63,14581,1,172007.37046734858,236212.2,1,122813.26251368687
3,63,2643,1,18643.083357472467,36473.399999999994,0,0.0
17,46,8656,1,80430.40085304057,192163.2,1,63057.4342687838
1,53,11150,1,92755.88861579685,140490.0,0,0.0
16,37,12918,1,153324.18759249203,279028.8,1,119132.89375936628
12,32,14835,0,131329.57425559688,284832.0,1,102962.38621638795
19,45,14900,0,140070.90408328688,348660.0,1,116679.06310137796
14,62,13305,0,146014.38366261366,271422.0,1,116519.4781627657
6,45,14791,0,111503.29346171592,230739.6,1,82735.44374859321
6,60,6817,0,71817.70900306213,106345.2,0,0.0
13,43,13460,1,104601.99991293681,266508.0,1,79079.11193418021
19,39,6263,1,72102.75809286362,146554.19999999998,1,57538.000958105156
8,38,13303,4,101200.93204659501,223490.4,1,62339.77414070254
2,22,2327,1,26907.66146026472,30716.4,0,0.0
1,33,6301,1,56409.992112479675,79392.6,0,0.0
15,44,13829,2,85109.50102794205,290409.0,1,62555.483255537394
1,29,8314,3,88814.04909612723,104756.40000000001,0,0.0
5,54,4753,2,32764.538067364814,71295.0,0,0.0
16,33,2292,3,27327.853405739424,49507.200000000004,1,19320.79235785777
19,38,14289,1,167324.86954246645,334362.6,1,133525.2458948882
4,51,3727,1,26896.733617640628,53668.799999999996,0,0.0
3,60,7887,3,67131.26655081731,108840.59999999999,0,0.0
17,64,4194,1,32284.46513379178,93106.8,1,25311.02066489275
17,34,12198,3,92591.68739019829,270795.60000000003,1,66110.46479660158
12,42,11016,0,132061.19696197662,211507.2,1,103535.97841818967
14,30,8609,1,76786.89622550619,175623.6,1,58588.401820061226
6,49,13945,0,101343.67688582583,217542.0,1,75197.00824928276
3,28,4667,1,35363.63149363231,64404.6,0,0.0
9,39,6380,4,49725.87593676787,111012.0,0,0.0
5,63,3686,0,31702.89377086793,55290.0,0,0.0
17,54,9261,2,101038.67785637092,205594.2,1,75677.96971442181
14,44,2261,1,23450.092398690555,46124.4,1,17892.420500200897
3,22,12660,2,119692.28650699389,174708.0,0,0.0
1,60,8825,4,74864.54189912748,111195.0,0,0.0
1,40,14953,2,129366.66782764786,188407.80000000002,0,0.0
3,40,9575,1,89575.39035653832,132135.0,0,0.0
18,25,7476,4,63099.623817342486,170452.8,1,43286.34193869695
10,28,9994,3,83343.1971517012,179892.0,1,55423.226105881295
3,50,3662,3,32400.58542889456,50535.6,0,0.0
8,60,10932,3,72291.38303560921,183657.59999999998,1,47061.69035618159
14,32,12062,4,81626.3858425717,246064.8,1,53710.16188441219
18,50,13531,1,87592.77071267225,308506.8,1,69285.88163372374
15,29,3355,1,38267.66203810859,70455.0,1,29466.099769343607
2,30,3461,1,23025.714889422292,45685.200000000004,0,0.0
10,26,13657,4,102113.5160433573,245826.0,1,64331.51510731511
2,52,7508,0,80401.69207022918,99105.6,0,0.0
17,31,6066,3,65739.5743875062,134665.2,1,46938.05611267943
8,64,6934,0,81917.87539953965,116491.2,1,61929.913802051975
1,45,11850,0,127429.4225086224,149310.0,0,0.0
9,38,11997,0,136021.4515110576,208747.8,1,103784.36750293693
11,32,6139,1,62462.06018937711,114185.40000000001,1,46346.84866051781
16,55,12870,2,96837.87210890965,277992.0,1,71853.70110481096
7,45,2162,3,17649.790833264018,35024.4,0,0.0
10,29,9123,1,80141.6265037157,164214.0,1,58904.09548023104
3,60,6349,3,63606.32050945173,87616.2,0,0.0
18,45,13218,1,80260.04286309719,301370.39999999997,1,63485.69390470987
13,23,3362,4,39634.351432737334,66567.59999999999,0,0.0
7,29,14795,1,173090.29027159853,239679.00000000003,1,123586.46725392135
4,52,7803,4,80798.44710505907,112363.2,0,0.0
13,56,13581,0,93293.51382370871,268903.8,1,73795.16943455358
1,25,8650,2,91648.48708913478,108990.0,0,0.0
8,33,10263,2,77939.86256414339,172418.4,1,53466.74571900236
14,60,13641,0,98807.29737339339,278276.39999999997,1,78848.22330396793
16,37,10633,0,111124.75814730005,229672.80000000002,1,90233.30361560763
14,43,2160,2,17459.649447658998,44064.0,1,12710.62479789575
12,38,9585,1,74804.64277045627,184032.0,1,56028.677435071746
19,46,2918,1,33311.336206235195,68281.2,1,26582.44629257568
15,36,10541,4,103576.3282355159,221361.0,1,68878.25827661807
2,41,8186,0,52437.47595354302,108055.20000000001,0,0.0
2,52,7803,1,61532.221019212906,102999.6,0,0.0
19,26,6445,1,74147.66674649983,150813.0,1,59169.838063706855
17,51,6998,1,45209.31120212624,155355.6,1,35444.09998246696
10,48,3985,2,35689.254494546716,71730.0,0,0.0
6,35,8212,3,68579.16659340406,128107.20000000001,0,0.0
15,38,5786,0,48288.896124940344,121506.0,1,38872.561380576975
11,51,10193,0,87924.5255955568,189589.80000000002,1,68317.35638774763
5,25,13106,4,90642.62764318702,196590.0,0,0.0
1,63,3328,2,21686.75246962734,41932.8,0,0.0
8,25,2495,2,19744.907385154893,41916.0,0,0.0
12,24,13777,1,121532.24610140033,264518.4,1,91027.65232994886
12,28,11256,0,70772.80857297605,216115.2,1,55485.88192121322
5,60,3373,3,36276.826796848036,50595.0,0,0.0
7,56,8229,3,49473.196503445426,133309.80000000002,0,0.0
4,34,9939,0,98353.18987266353,143121.6,0,0.0
6,57,2461,3,29183.23348415292,38391.6,0,0.0
13,57,4803,4,42787.75147953603,95099.4,1,27854.826213177952
15,49,13278,3,88708.12084614047,278838.0,1,62095.68459229832
3,53,7818,2,65744.56861151167,107888.4,0,0.0
8,35,6927,0,52226.43900310153,116373.59999999999,1,39483.18788634476
16,57,14421,2,107639.7949467881,311493.60000000003,1,79868.72785051675
13,56,14430,1,163646.49565948406,285714.0,1,123716.75071856994
18,59,12140,2,109696.22802869884,276792.0,1,82930.3483896963
10,26,9132,3,61890.380446669704,164376.0,1,41157.102997035356
19,27,2336,0,19270.259376903836,54662.4,1,16052.126060960894
17,33,5741,3,64475.11705636851,127450.20000000001,1,46035.23357824711
19,60,12625,4,142637.36734787215,295425.0,1,98847.69557207539
5,64,11578,1,112733.41308563718,173670.0,0,0.0
9,33,7099,0,74144.8190617918,123522.59999999999,1,56572.49694414715
12,29,3396,0,36492.11263713442,65203.200000000004,1,28609.81630751339
1,39,11881,3,83810.27336438968,149700.6,0,0.0
1,39,4392,2,39529.10302081063,55339.200000000004,0,0.0
15,31,10272,1,101894.66972002719,215712.0,1,78458.89568442092
2,27,2286,4,23882.558386005818,30175.2,0,0.0
16,26,14155,3,160303.22672140624,305748.0,1,113334.38129203419
8,44,5491,3,57729.071282624136,92248.79999999999,0,0.0
13,46,13470,2,154916.6342074204,266706.0,1,111694.89326355008
1,28,8645,0,59869.330935744096,108927.0,0,0.0
16,64,13132,1,143041.8246463635,283651.2,1,111143.49775022441
7,26,3513,0,31056.214018522303,56910.600000000006,0,0.0
5,52,13498,3,120055.48824708068,202470.0,0,0.0
3,40,10303,2,111231.74361618713,142181.4,0,0.0
12,57,2935,1,20937.989076662863,56352.0,1,15682.553818420485
16,56,7891,0,89955.14843333766,170445.6,1,73043.58052787017
19,64,11641,2,117476.5183500591,272399.39999999997,1,89634.58350109507
5,30,6297,1,65496.37773628944,94455.0,0,0.0
14,45,2469,2,16294.167366141925,50367.6,1,11862.15384255132
5,39,13572,2,133163.62900975742,203580.0,1,88553.8132914887
15,30,10534,0,75173.85169264763,221214.0,1,60514.950612581335
17,59,11507,3,93987.19246286267,255455.40000000002,1,67106.85541848394
14,55,11705,4,134924.56390848602,238782.0,1,88780.36305178382
5,54,13526,3,86284.69663361654,202890.0,1,54359.35887917841
12,25,7553,4,66797.87871481292,145017.6,1,43017.83389233953
16,41,9941,2,103232.74101949827,214725.6,1,76598.69383646769
16,44,12386,4,75191.1278551339,267537.60000000003,1,50528.43791864998
7,57,6278,0,70764.47576906689,101703.6,0,0.0
4,47,12218,4,84557.39524252902,175939.19999999998,0,0.0
1,64,5111,3,45392.67290845212,64398.600000000006,0,0.0
5,22,6784,3,68817.37551070853,101760.0,0,0.0
10,60,13088,2,80443.55593258215,235584.0,1,56310.4891528075
5,64,10677,1,69264.2149644187,160155.0,1,48484.95047509309
4,53,10041,1,75038.6393263159,144590.4,0,0.0
2,49,6377,2,60284.029594899504,84176.40000000001,0,0.0
10,45,5540,2,60091.778031220674,99720.0,0,0.0
19,34,14626,3,145771.22825757574,342248.39999999997,1,106121.45417151514
1,54,10106,2,103793.36462073616,127335.6,0,0.0
5,33,4294,2,46196.860552439,64410.0,0,0.0
13,54,9297,3,106054.57098762109,184080.59999999998,1,72753.43569750804
4,35,11200,0,118953.12108848584,161280.0,0,0.0
16,34,7279,1,81598.89522926068,157226.4,1,63402.34159313554
16,58,10934,3,101367.27541811063,236174.4,1,71666.66372060419
2,48,4812,0,30885.210863517466,63518.40000000001,0,0.0
17,25,2595,1,23114.722744933348,57609.0,1,18121.94263202774
12,25,11272,2,135250.39558192034,216422.40000000002,1,96568.78244549112
18,61,4929,1,36977.799480495174,112381.2,1,29249.43938907168
3,37,6630,4,73044.71124672404,91494.0,0,0.0
1,60,12740,1,146743.43351996786,160524.0,0,0.0
1,61,6273,0,66652.10175118352,79039.8,0,0.0
19,39,12132,2,118947.38968065467,283888.8,1,90756.8583263395
11,37,11783,4,91894.63249349187,219163.80000000002,1,58536.88089835433
5,52,8315,1,69510.96534226555,124725.0,0,0.0
12,47,3463,2,41297.82153725019,66489.6,0,0.0
3,44,11476,2,105322.40412296621,158368.8,0,0.0
1,23,3285,3,20896.275478822634,41391.0,0,0.0
1,59,7230,0,74720.0593536542,91098.0,0,0.0
8,32,13356,2,87257.68064857008,224380.8,1,59858.76892491907
10,26,12153,2,85226.83452761263,218754.0,1,59658.78416932884
11,35,6878,3,61314.840015332054,127930.8,1,41203.572490303144
12,37,11220,2,83806.30836742147,215424.0,1,59837.70417433893
13,62,4036,0,26453.65521039236,79912.8,1,20924.841271420355
12,58,14825,4,138865.44472563648,284640.0,1,89429.3464033099
14,42,7037,1,79823.09144168037,143554.8,1,60905.01877000213
2,29,9178,1,81905.03900482414,121149.6,0,0.0
19,35,3309,1,30540.490735623676,77430.59999999999,1,24371.311607027692
18,30,13664,2,162506.09850160964,311539.2,1,122854.61046721686
3,33,5427,3,46792.04280419191,74892.59999999999,0,0.0
17,36,3214,0,27648.45448551116,71350.8,1,22644.08422363364
8,46,12286,4,129774.19010264496,206404.8,0,0.0
10,42,13335,2,118369.05908578211,240030.0,1,82858.34136004747
2,55,7458,4,46576.393865321515,98445.6,0,0.0
19,47,7251,1,64108.24470933488,169673.4,1,51158.37927804923
9,25,3157,1,34573.97269561882,54931.799999999996,0,0.0
7,46,11540,3,93000.13524819436,186948.0,1,59892.08709983717
4,61,8981,2,54059.580112229545,129326.4,0,0.0
18,53,12188,2,98034.79007936132,277886.39999999997,1,74114.30129999715
13,50,4094,1,40287.72664346961,81061.2,1,30457.521342463016
11,43,6521,2,65624.08205640936,121290.6,1,46396.226013881416
4,55,9329,2,65096.33164785789,134337.6,0,0.0
4,40,6556,1,74389.54476927556,94406.4,0,0.0
10,27,12096,4,141460.30337993466,217728.0,1,89119.99112935884
5,41,8953,1,63005.35917936197,134295.0,0,0.0
9,37,7695,4,53327.093367852816,133893.0,0,0.0
3,54,4223,4,39521.03213154702,58277.399999999994,0,0.0
17,30,5117,0,44794.47430830139,113597.40000000001,1,36686.674458498834
3,43,9827,2,112242.45791838618,135612.59999999998,0,0.0
16,55,11509,0,84634.80867992916,248594.4,1,68723.46464810247
4,40,10818,4,84216.18861009245,155779.19999999998,0,0.0
18,62,14982,3,109689.50617372457,341589.6,1,79086.13395125538
17,62,11976,2,86396.74825635001,265867.2,1,64711.16444400614
7,58,5240,1,39861.30704948791,84888.0,0,0.0
5,25,4589,2,45829.092636099216,68835.0,0,0.0
12,26,8481,4,54467.818981254044,162835.2,1,35077.27542392761
17,33,14831,4,131998.6660643908,329248.2,1,89627.09425772134
13,54,6248,2,49105.0820181228,123710.4,1,35404.76413506653
3,30,10486,2,124092.18907914376,144706.8,0,0.0
9,50,7091,2,61439.74034590219,123383.4,0,0.0
17,51,2877,1,22845.429457024555,63869.4,1,17910.816694307247
17,50,8729,4,78262.20448923217,193783.80000000002,1,53140.03684818864
16,38,3923,0,27115.351873339197,84736.8,1,22017.665721151425
13,56,4425,4,35269.77818638778,87615.0,1,22960.625599338444
19,34,13299,4,120461.54358471799,311196.6,1,83479.84970420956
17,57,6873,1,72874.82713437238,152580.6,1,57133.86447334793
